"","cnsm_id","zip5","user_id","hhincome","dwelling","prkids","home_own_rent","marital_stat","online_dols","match_level","life_stage","age","educ"
"4018","oy48851",6423,19654660,7,"S","Y","O","M","E","1","Y",32,2
"4019","tx94843",10901,10457349,12,"S","Y","O","M","E","1","F",56,1
"4020","xx29398",60645,2379862,6,"M","","O","S","F","4","F",58,3
"4021","oy30610",1867,14596856,11,"S","Y","O","M","F","1","F",64,1
"4022","sy50687",10003,20078862,NA,"","","","","","","Y",NA,NA
"4023","jy46188",22182,19218648,12,"S","","O","S","B","1","F",48,NA
"4024","gy40243",10312,17955672,8,"S","Y","O","S","F","1","M",30,NA
"4025","nx60675",60625,4763256,8,"S","Y","","S","G","4","Y",40,1
"4026","ry31920",11010,14555862,8,"S","N","O","M","E","1","Y",32,1
"4027","ky31077",6335,14758670,NA,"","","","","","","",NA,NA
"4028","gy44456",11743,18907996,NA,"S","","","B","","2","F",34,NA
"4029","my29461",20036,14355037,NA,"","","","","","","M",NA,NA
"4030","uy23055",7727,12477948,8,"S","Y","O","M","D","1","F",46,2
"4031","jy41600",11776,18230330,11,"S","Y","O","M","G","1","F",30,3
"4032","zx14895",21045,1865356,12,"S","N","O","M","E","1","M",50,3
"4033","mx56269",20817,4571036,NA,"","","","","","","",NA,NA
"4034","by23616",2865,12543636,NA,"","","","","","","",NA,NA
"4035","ky44068",2474,18843696,NA,"","","","","","","M",NA,NA
"4036","vx94108",20906,10313149,5,"S","N","O","M","","1","M",88,2
"4037","wx61235",20878,5148172,NA,"S","Y","O","M","G","1","Y",62,3
"4038","gy26149",2903,13325988,NA,"","","","","","","F",NA,NA
"4039","lx67272",6443,5871048,12,"S","Y","O","M","D","1","F",46,3
"4040","ly27110",2032,13580170,6,"S","Y","O","A","E","3","Y",66,NA
"4041","px43340",2726,3212698,5,"S","N","O","M","D","2","F",64,2
"4042","bx58363",20007,4810749,NA,"","","","","","","Y",NA,NA
"4043","dy16935",11501,11429260,7,"S","","O","S","F","1","M",36,2
"4044","ly25335",60610,13093972,6,"S","","O","M","","4","Y",66,NA
"4045","fy22147",46234,12546170,5,"S","Y","O","A","F","1","Y",86,NA
"4046","by45515",60067,19107972,NA,"","","","","","","",NA,NA
"4047","by47141",10026,19362556,NA,"","","","","","","Y",NA,NA
"4048","gy27100",21122,13580503,8,"S","Y","O","M","E","1","Y",44,1
"4049","by34043",60201,15206270,10,"S","Y","O","M","A","2","F",56,2
"4050","ny33654",10011,15327236,NA,"","","","","","","M",NA,NA
"4051","dy36091",2648,7424737,11,"S","N","O","M","E","1","F",50,1
"4052","fy32655",20904,15075949,8,"M","","","B","","3","M",82,NA
"4053","wx86803",2917,8286762,NA,"S","","O","M","C","1","Y",44,2
"4054","ry26154",10595,13326048,12,"S","Y","O","M","F","1","F",24,2
"4055","iy20363",20036,12164637,NA,"","","","","","","Y",NA,NA
"4056","kx98364",6109,11111160,6,"S","Y","O","S","","1","M",78,1
"4057","dy32052",60195,14989362,NA,"","","","","","","Y",NA,NA
"4058","by43732",11050,18019970,NA,"","","","","","","",NA,NA
"4059","xy40942",20878,17651262,11,"S","Y","O","M","C","3","M",44,1
"4060","py32166",60610,15013772,11,"M","","O","M","","3","Y",NA,NA
"4061","jy16437",60202,11308570,NA,"S","","O","M","E","2","F",44,2
"4062","mx82091",2116,7588030,13,"S","N","O","M","H","4","M",70,3
"4063","ry36828",46228,16043156,NA,"","","","","","","Y",NA,NA
"4064","ky47185",2115,19251272,NA,"M","","","","B","1","Y",NA,NA
"4065","ey48621",11961,18793260,8,"S","N","O","M","E","2","M",32,2
"4066","py35384",20853,15646276,NA,"S","","","B","E","1","F",42,NA
"4067","dx54765",20008,4358988,NA,"","","","","","","Y",NA,NA
"4068","ly23117",6482,12637256,11,"S","","O","","B","1","Y",36,1
"4069","gy47775",6385,13157436,NA,"M","","O","B","","3","Y",30,1
"4070","xy52010",10510,20420670,NA,"","","","","","","F",NA,NA
"4071","fy50891",60618,20137530,NA,"","","","","","1","Y",36,NA
"4072","ly23986",60072,12602730,3,"S","N","O","M","","1","M",80,1
"4073","bx75179",60031,6767198,11,"S","N","O","M","C","1","F",42,2
"4074","kx27255",6611,2238762,12,"S","N","O","M","H","1","F",44,2
"4075","zy44755",8721,18967498,NA,"S","","O","B","","3","Y",28,NA
"4076","wy45470",60302,17810688,NA,"","","","","","","F",NA,NA
"4077","iy49926",46201,19859530,4,"S","Y","O","M","B","3","F",36,1
"4078","hy32337",11050,15055696,12,"S","Y","O","M","G","1","Y",52,2
"4079","iy36385",6606,15914498,NA,"S","","O","S","","1","Y",30,NA
"4080","py50715",20015,20083860,NA,"","","","","","","",NA,NA
"4081","iy44936",8527,18763662,NA,"","","","","","","M",NA,NA
"4082","vy30045",60601,14527696,12,"S","N","O","M","F","2","Y",54,2
"4083","xy32211",6782,14871470,11,"S","","O","S","F","2","Y",NA,NA
"4084","px22406",11803,2093296,11,"S","N","O","M","H","1","Y",44,3
"4085","ak33714",20895,390037,5,"S","Y","O","M","G","3","Y",48,3
"4086","ay21925",60626,12506848,4,"M","","","B","E","1","Y",34,3
"4087","oy25958",20833,9878472,12,"S","Y","O","M","G","2","F",52,NA
"4088","py41045",8831,18132056,NA,"S","","O","S","E","1","M",74,2
"4089","dx91547",6355,9439448,13,"S","Y","O","M","F","3","F",46,NA
"4090","jy25516",2902,13092488,NA,"","","","","","","F",NA,NA
"4091","rx10710",20001,1488660,NA,"","","","","","","Y",NA,NA
"4092","mx97350",21093,8037148,7,"S","N","O","M","","1","F",46,2
"4093","ix97055",22306,10687488,12,"S","N","O","A","D","1","M",36,2
"4094","py48323",1002,19550270,6,"S","Y","O","S","E","2","Y",42,NA
"4095","qy25409",2052,13027037,NA,"","","","","","","F",NA,NA
"4096","ry47295",60047,19368170,NA,"","","","","","","",NA,NA
"4097","zy34252",10036,15433776,8,"S","Y","O","S","F","2","Y",26,NA
"4098","ux63558",7924,5424830,NA,"","","","","","","F",NA,NA
"4099","qy36330",60611,15898548,NA,"","","","","","","Y",NA,NA
"4100","dy28406",8724,14025370,8,"S","Y","O","S","F","1","Y",44,1
"4101","ly48931",6379,18636230,5,"S","","O","M","A","1","F",80,NA
"4102","fy23624",6511,12793770,NA,"","","","","","","",NA,NA
"4103","sy30461",10312,14507556,9,"S","N","O","S","F","1","M",56,3
"4104","sx90542",11420,8800249,NA,"","","","","","","",NA,NA
"4105","cy49462",20815,19627037,11,"S","N","O","M","E","1","M",72,NA
"4106","yx54457",11501,4368372,NA,"","","","","","","",NA,NA
"4107","qx38680",6442,2956376,12,"S","N","O","M","E","1","Y",42,2
"4108","qy27605",11769,13758737,8,"M","Y","O","S","I","1","",46,1
"4109","lx43512",20912,3231537,6,"S","N","O","S","E","1","M",54,2
"4110","dy44733",11375,18972449,NA,"","","","","","","",NA,NA
"4111","ty37981",6516,17378972,NA,"","","","","","","",NA,NA
"4112","qy28932",2339,14192362,NA,"S","","","B","","1","Y",28,NA
"4113","yy45778",8741,19151196,7,"S","Y","O","M","","2","Y",30,1
"4114","yy34302",60647,15443456,9,"M","Y","O","S","B","3","Y",32,2
"4115","vy47591",2118,19426972,NA,"","","","","","","M",NA,NA
"4116","xx74660",11725,6710803,11,"S","Y","O","M","G","1","M",38,1
"4117","wx84828",60477,8007788,NA,"","","","","","","Y",NA,NA
"4118","zy24936",60642,13022237,8,"M","","","","","3","Y",28,NA
"4119","tx90128",1907,8791070,12,"S","Y","O","M","J","2","Y",48,2
"4120","ey20850",20910,12294788,7,"M","","","S","H","1","M",62,2
"4121","ux36236",6516,2824996,NA,"","","","","","","",NA,NA
"4122","iy34689",11946,10843749,4,"S","N","O","M","","2","Y",40,1
"4123","ey51322",7728,19794649,NA,"S","","","","","2","Y",26,NA
"4124","zy25623",8638,12740756,NA,"S","","","","","1","Y",66,NA
"4125","ny20167",11704,12158636,NA,"","","","","","","F",NA,NA
"4126","ly33006",2301,15183260,3,"S","Y","O","S","","1","M",36,NA
"4127","bx62108",2021,5244849,7,"S","N","O","M","E","1","F",52,2
"4128","qy48312",2138,19549672,NA,"","","","","","","Y",NA,NA
"4129","jy50033",6511,19907796,NA,"","","","","","","Y",NA,NA
"4130","qx84812",6066,8005798,NA,"","","","","","","M",NA,NA
"4131","yy51535",2116,20287103,13,"M","","","M","C","3","Y",NA,NA
"4132","ax77864",11746,7111649,12,"S","N","O","M","G","1","F",64,1
"4133","iy21137",11375,12364996,12,"M","Y","O","M","F","2","M",50,NA
"4134","gy31003",10014,14688962,NA,"M","","","B","E","1","Y",32,2
"4135","by49115",19468,19703370,11,"S","Y","O","M","E","1","F",34,1
"4136","uy48162",12570,19524948,NA,"","","","","","","",NA,NA
"4137","py30365",20009,14585272,NA,"","","","","","","",NA,NA
"4138","ry27301",10029,13646436,NA,"","","","","","","F",NA,NA
"4139","ey48944",20191,19676770,NA,"","","","","","","M",NA,NA
"4140","ox50075",22124,3868698,13,"S","N","O","M","H","1","F",50,3
"4141","tx80977",7740,7513103,12,"S","","O","","H","3","F",36,1
"4142","zy43502",53218,18537737,5,"S","N","O","M","G","1","F",66,1
"4143","gx83250",60625,7825403,1,"S","N","O","S","","1","F",84,2
"4144","qy41122",6611,18152603,11,"S","Y","O","M","H","1","F",52,2
"4145","dy35972",10598,15401676,11,"S","Y","O","M","H","1","F",36,2
"4146","iy37961",20005,17377460,1,"M","Y","O","S","","3","M",62,1
"4147","dx75388",6471,6096696,8,"M","","O","M","C","3","M",70,NA
"4148","py51532",10605,20294570,NA,"S","Y","","","","2","Y",38,2
"4149","dy36041",20011,14922737,7,"S","","O","S","H","1","Y",46,1
"4150","iy21857",46220,12490237,NA,"","","","","","","F",NA,NA
"4151","bx48440",20854,3732103,12,"S","Y","O","M","","1","F",68,2
"4152","py47541",21222,18338376,1,"S","N","O","M","","1","F",60,2
"4153","ly21128",60465,12181572,5,"S","Y","O","M","H","1","M",86,2
"4154","ky24557",7307,12946988,NA,"M","Y","","","B","1","Y",30,NA
"4155","ry36205",20016,15871876,13,"S","N","O","M","H","3","Y",72,3
"4156","ny38178",2116,17426488,NA,"S","","","","","3","F",54,3
"4157","vy43157",60451,18652576,7,"S","Y","O","M","G","1","F",34,1
"4158","py49570",1527,19806056,NA,"S","","O","S","","2","Y",26,NA
"4159","ry23974",60611,12846398,11,"M","","O","S","G","4","Y",50,1
"4160","rx94004",20814,10026936,13,"S","","O","S","H","1","Y",44,3
"4161","zx96557",1966,10741337,8,"S","Y","O","M","E","1","Y",46,2
"4162","fy36863",7423,15826388,NA,"S","Y","O","","F","1","F",58,2
"4163","rx38277",6437,2896470,NA,"","","","","","","",NA,NA
"4164","by45267",2132,19062762,NA,"","","","","","","Y",NA,NA
"4165","vy35205",10530,15603048,8,"M","Y","R","A","F","1","Y",34,2
"4166","by42263",8879,18202698,NA,"","","","","","","",NA,NA
"4167","iy47650",10801,19439803,13,"S","N","O","M","G","1","M",50,3
"4168","py37898",22180,9211072,11,"S","N","O","M","D","2","F",42,2
"4169","fy48934",1950,19677248,NA,"","","","","","","Y",NA,NA
"4170","vy47606",2767,19396070,NA,"","","","","","","M",NA,NA
"4171","ix61912",11949,5215970,10,"S","Y","O","M","H","1","F",38,NA
"4172","ay30625",21042,14597676,11,"S","Y","O","S","","1","Y",44,1
"4173","wy34003",20008,15387396,NA,"","","","","","","Y",NA,NA
"4174","ax85308",20785,7673496,3,"M","","R","S","A","2","M",60,2
"4175","jy30976",7047,14731576,5,"M","","O","M","G","3","M",80,3
"4176","bx45880",60561,3486403,NA,"","","","","","","M",NA,NA
"4177","ny44002",1002,18827949,NA,"S","","O","B","","1","M",20,NA
"4178","gy42496",20019,18475703,NA,"","","","","","","",NA,NA
"4179","cy51205",11557,20211203,12,"S","N","O","M","H","2","Y",48,2
"4180","gy39080",20850,17636556,11,"S","","O","M","A","1","Y",66,NA
"4181","wy48705",10018,19625156,NA,"","","","","","","Y",NA,NA
"4182","vx98227",8540,11088530,7,"S","","O","S","G","1","M",40,3
"4183","dy18716",2807,11837596,12,"S","Y","O","M","J","1","Y",46,3
"4184","xy45147",60514,19048956,11,"S","Y","O","M","J","1","F",42,3
"4185","jy20307",6511,12163188,NA,"","","","","","","Y",NA,NA
"4186","nx66598",20001,5803630,NA,"","","","","","","",NA,NA
"4187","fy29828",11787,14465956,NA,"","","","","","","F",NA,NA
"4188","uy34948",2149,15568876,6,"S","Y","O","M","E","1","F",48,3
"4189","wy35066",6405,15484030,5,"S","Y","O","S","E","1","M",36,NA
"4190","oy31718",10024,14907548,11,"S","Y","O","M","E","1","M",54,2
"4191","kx62908",2109,5338549,NA,"","","","","","","",NA,NA
"4192","vy45825",10304,14198562,NA,"","","","","","","",NA,NA
"4193","wy39056",6382,17668070,NA,"","","","","","","",NA,NA
"4194","ax95732",22152,10577972,NA,"","","","","","","",NA,NA
"4195","gx62172",2169,5252449,NA,"","","","","","","",NA,NA
"4196","ly21331",11215,12403976,NA,"","","","","","","",NA,NA
"4197","hy43925",22312,18692649,NA,"","","","","","","",NA,NA
"4198","sy25326",8759,13095198,3,"S","N","O","S","","2","M",72,NA
"4199","py38677",19064,17340648,13,"S","Y","O","M","D","1","M",40,3
"4200","by28806",6611,14151272,8,"S","N","O","M","","1","F",50,1
"4201","hy42743",11580,13273760,11,"S","Y","O","M","A","3","F",38,NA
"4202","qx83174",6798,7812636,11,"S","Y","O","M","F","1","Y",36,1
"4203","oy47640",60142,19439637,9,"S","Y","O","S","B","1","F",36,1
"4204","by43275",6357,18671649,10,"S","Y","O","S","","1","Y",42,3
"4205","hy20823",2111,12188803,7,"S","Y","O","","B","3","M",30,2
"4206","ky52020",21738,20350248,NA,"","","","","","","",NA,NA
"4207","ay35058",1701,15583903,11,"S","Y","O","S","H","2","M",36,1
"4208","qy44359",11727,18892462,8,"S","","","","G","3","Y",36,NA
"4209","gy39433",60153,17764572,12,"S","N","O","M","E","1","M",60,3
"4210","xy41063",6420,9369176,7,"S","Y","O","M","G","1","F",46,2
"4211","fy45465",60504,19102537,NA,"","","","","","","F",NA,NA
"4212","xy49757",20008,19844498,10,"M","Y","O","S","","3","M",54,NA
"4213","ay44630",60527,18949448,11,"S","Y","O","M","F","1","Y",42,1
"4214","ox96662",2116,10726762,NA,"S","Y","O","M","H","1","M",28,1
"4215","yy35742",11211,15676362,NA,"","","","","","","Y",NA,NA
"4216","py23108",46342,12590548,NA,"","","","","","","M",NA,NA
"4217","lx98687",8831,10484303,5,"S","Y","O","S","H","1","Y",38,1
"4218","ly27448",7928,13705796,NA,"","","","","","","Y",NA,NA
"4219","ky34253",10018,15434903,NA,"","","","","","","Y",NA,NA
"4220","ax72899",2770,6494262,NA,"","","","","","","F",NA,NA
"4221","jy28965",2720,14193860,NA,"","","","","","","",NA,NA
"4222","ax91115",21703,8940598,10,"S","Y","O","M","C","2","M",72,3
"4223","py40943",2739,18065998,12,"S","Y","O","M","H","1","Y",52,NA
"4224","gy49071",19050,19696948,6,"S","N","O","S","F","3","F",44,NA
"4225","ny45317",7666,19078398,11,"S","Y","O","M","A","1","F",46,2
"4226","zy32325",6066,15048103,NA,"M","","","B","","1","Y",28,NA
"4227","ty42926",8857,18590849,7,"S","N","O","S","E","1","Y",44,2
"4228","iy47901",11783,19484036,10,"S","Y","O","M","","3","F",42,2
"4229","gy40878",10022,18097462,NA,"","","","","","","M",NA,NA
"4230","wy51865",20008,20381598,NA,"M","","O","","","3","Y",NA,NA
"4231","gy40981",6482,18117898,NA,"","","","","","","F",NA,NA
"4232","zz34370",6604,406460,3,"M","","","S","F","3","",84,3
"4233","fx71474",2190,6337696,NA,"","","","","","","",NA,NA
"4234","hx78247",60056,7139903,NA,"","","","","","","M",NA,NA
"4235","wy25583",53711,13168170,NA,"","","","","","","Y",NA,NA
"4236","sy43890",11747,8215598,12,"S","Y","O","M","","1","Y",38,2
"4237","fy24022",2120,12852088,12,"S","N","O","M","E","1","Y",76,NA
"4238","ey45105",60622,19039170,NA,"","","","","","","M",NA,NA
"4239","py28091",21113,9763896,NA,"M","","","","","3","M",64,NA
"4240","wx76842",20151,6979137,NA,"","","","","","","F",NA,NA
"4241","hy26462",60208,13409249,NA,"","","","","","","",NA,NA
"4242","tx98268",6070,11096649,12,"S","Y","O","M","G","1","F",48,2
"4243","hy28095",6460,13936096,8,"S","N","O","M","H","1","Y",70,2
"4244","cx97036",6511,10805976,13,"S","Y","O","M","E","3","",64,1
"4245","ty38301",20850,17456248,11,"M","Y","O","M","F","5","Y",54,2
"4246","ry41531",19096,18215762,12,"S","","O","M","E","1","Y",84,3
"4247","ny39540",11747,17781903,NA,"","","","","","","F",NA,NA
"4248","qy50212",7306,19942949,8,"S","N","O","M","F","1","Y",50,2
"4249","ey20377",2155,12184976,NA,"","","","","","","Y",NA,NA
"4250","py27757",6117,12933756,7,"S","Y","O","A","H","1","M",38,2
"4251","my23624",22033,10159136,NA,"","","","","","","",NA,NA
"4252","ay38882",10022,17623536,NA,"","","","","","","M",NA,NA
"4253","gy50915",11414,19768548,NA,"","","","","","","M",NA,NA
"4254","wx46516",11746,3550230,11,"S","Y","O","M","J","1","F",38,2
"4255","px84358",8807,7949937,12,"S","Y","O","M","E","1","Y",44,1
"4256","zy51780",21237,20366437,11,"S","Y","O","S","C","1","Y",44,2
"4257","bz34378",6840,406637,13,"S","","O","S","E","1","F",54,NA
"4258","ax34371",6811,2704872,7,"S","N","O","S","F","1","M",86,3
"4259","ly40861",60618,18094972,NA,"","","","","","","F",NA,NA
"4260","ex63338",60647,5395456,NA,"","","","","","","F",NA,NA
"4261","dy39172",11030,17664536,13,"S","Y","O","M","F","1","F",44,NA
"4262","qy51301",22182,19690970,11,"S","","O","M","","1","M",88,1
"4263","cy18707",60657,11193630,11,"M","N","O","M","B","1","Y",30,2
"4264","gy45415",10573,19081736,NA,"","","","","","","F",NA,NA
"4265","vy37751",10028,17333056,12,"S","N","O","M","H","1","M",62,2
"4266","ix66366",2138,5773472,8,"S","Y","O","M","E","1","F",44,1
"4267","ry31461",21204,14838037,6,"M","Y","O","A","","3","M",96,NA
"4268","jy38100",20740,17407148,12,"S","Y","O","S","B","1","F",22,NA
"4269","zy20716",2115,12261737,1,"S","N","O","S","A","1","F",30,NA
"4270","uy36482",6514,15935688,5,"S","Y","O","S","","3","F",34,NA
"4271","uy46776",2906,19312162,5,"S","N","O","","H","1","M",26,NA
"4272","fy47650",20032,18389737,NA,"","","","","","","M",NA,NA
"4273","ey30105",7627,14542537,5,"S","Y","O","S","G","1","Y",50,2
"4274","wy50187",2446,18372956,NA,"M","","O","S","E","3","Y",24,NA
"4275","kx97947",10590,11028448,NA,"","","","","","","Y",NA,NA
"4276","ty50411",6905,19957470,8,"S","","O","B","","1","M",34,3
"4277","zx81042",8824,7234470,NA,"","","","","","","",NA,NA
"4278","by40315",10704,17968062,8,"S","Y","O","S","G","3","M",46,2
"4279","yy32003",47401,14927330,8,"S","Y","O","M","I","1","Y",42,2
"4280","iy37260",7726,17187988,9,"S","","O","S","H","1","Y",32,NA
"4281","wy38347",2482,17473670,NA,"S","Y","O","","H","1","F",38,2
"4282","sy24069",7728,12845337,NA,"","","","","","","",NA,NA
"4283","my17841",6877,11643903,8,"M","","O","A","","3","Y",92,NA
"4284","ny27410",21136,13691949,13,"S","Y","O","M","E","1","Y",56,2
"4285","uy51836",10023,20365803,NA,"M","","","B","B","3","M",30,NA
"4286","sy46056",46032,18747903,12,"S","","O","M","D","1","Y",32,1
"4287","gy38555",10703,17525596,NA,"","","","","","","",NA,NA
"4288","cy31461",10470,14851676,NA,"","","","","","","",NA,NA
"4289","ey32531",2703,15088549,8,"S","Y","O","M","F","1","F",50,1
"4290","ax61088",20010,5124588,6,"M","","O","S","","1","F",42,1
"4291","ly22895",60445,12658430,NA,"S","Y","O","M","","1","M",30,1
"4292","gy22042",11738,12519237,4,"S","Y","O","M","G","1","Y",64,2
"4293","ay35291",60622,15624396,NA,"","","","","","","",NA,NA
"4294","iy47012",60714,19344672,NA,"","","","","","","",NA,NA
"4295","vy19096",10308,11910596,11,"S","N","O","M","H","1","M",38,2
"4296","nx61536",20002,4919172,NA,"S","","","B","D","4","F",30,1
"4297","mx96712",20032,10774170,NA,"","","","","","","M",NA,NA
"4298","hy43172",21228,18650598,NA,"","","","","","","",NA,NA
"4299","qy43801",6514,7568260,NA,"S","Y","O","S","A","1","Y",36,2
"4300","yy23448",60640,12758737,NA,"","","","","","","Y",NA,NA
"4301","ax76901",20037,6663496,11,"S","N","O","S","F","2","Y",62,3
"4302","kx45827",21136,3481576,12,"S","Y","O","M","G","1","F",48,3
"4303","hy31665",6074,14867476,10,"S","N","O","M","G","1","M",84,2
"4304","qx43175",20007,3193449,13,"S","Y","O","M","C","2","Y",56,1
"4305","gy19677",2116,12038337,NA,"","","","","","","Y",NA,NA
"4306","cy38791",10465,17600462,11,"S","N","O","","E","1","",62,3
"4307","qy40305",20011,17963770,NA,"","","","","","","",NA,NA
"4308","bx69368",60563,6092272,11,"S","Y","O","M","E","2","F",38,1
"4309","cy49795",11010,19832376,6,"S","","O","S","F","1","F",38,3
"4310","cx32713",2874,2589556,7,"S","Y","O","S","","3","Y",38,2
"4311","px82036",7731,7673970,12,"S","N","O","","H","1","Y",64,NA
"4312","ey42381",8721,12799837,7,"S","Y","O","M","H","1","F",38,NA
"4313","ax43942",6405,3247456,NA,"","","","","","","",NA,NA
"4314","hx89232",1890,8673398,NA,"","","","","","","Y",NA,NA
"4315","vx83120",11415,7796770,11,"M","N","O","M","","4","M",38,2
"4316","fx75445",11937,6799930,10,"","Y","O","S","H","1","M",46,NA
"4317","by33382",3052,15271830,3,"S","","O","S","","1","F",42,3
"4318","py35474",12590,15663230,NA,"","","","","","","Y",NA,NA
"4319","oy45578",22202,19117930,12,"S","N","O","M","I","1","M",30,1
"4320","wy18677",11967,11834696,5,"S","Y","O","","","2","Y",34,NA
"4321","ry27185",10304,13610548,NA,"","","","","","","M",NA,NA
"4322","bx90582",11968,8757996,NA,"","","","","","","M",NA,NA
"4323","jy32015",10589,14955303,7,"S","N","O","M","","4","M",62,3
"4324","iy36080",6085,8731656,8,"S","N","O","M","B","1","Y",58,1
"4325","ay43834",60614,18797460,NA,"","","","","","","",NA,NA
"4326","ex85455",20879,8083896,5,"S","Y","O","M","","1","F",54,NA
"4327","yy21485",60657,12407403,NA,"","","","","","","Y",NA,NA
"4328","qy34981",2885,15573703,8,"S","Y","O","M","C","3","M",48,1
"4329","ny17360",6903,11568756,NA,"","","","","","","Y",NA,NA
"4330","ly43874",2864,18692776,4,"S","Y","O","M","F","2","F",38,1
"4331","zy34343",11705,15426888,8,"S","Y","O","A","B","1","Y",34,NA
"4332","yy19512",22306,12005737,NA,"","","","","","","Y",NA,NA
"4333","ry38996",7601,17651662,NA,"","","","","","","Y",NA,NA
"4334","fy26268",1702,13104149,NA,"","","","","","","F",NA,NA
"4335","ax78989",60002,6677670,11,"S","Y","O","M","F","1","F",32,2
"4336","ry34340",20124,15449162,11,"S","Y","O","M","F","1","F",48,NA
"4337","ox90187",11780,8793303,11,"S","Y","O","M","F","1","F",40,3
"4338","dy42632",20817,18244870,11,"S","Y","O","M","I","1","M",40,NA
"4339","gy23035",22206,12682372,6,"S","Y","O","S","","3","F",30,1
"4340","oy18076",8751,11708296,NA,"","","","","","","Y",NA,NA
"4341","ty22255",2828,12561276,7,"S","","O","M","","2","Y",30,NA
"4342","dy20165",7760,12155349,12,"S","Y","O","M","H","1","M",60,1
"4343","by49058",6051,19695562,NA,"","","","","","","M",NA,NA
"4344","cy39136",2170,17670037,NA,"M","","","B","F","4","M",70,1
"4345","lx97435",11742,10916372,NA,"S","Y","","B","","1","Y",36,NA
"4346","my41908",10128,18301198,NA,"","","","","","","Y",NA,NA
"4347","yy39179",1803,17704036,11,"S","","O","S","E","1","F",30,3
"4348","ix80488",8759,7455637,8,"S","Y","O","M","F","1","Y",44,2
"4349","hy18782",8723,11855472,11,"S","Y","O","S","F","1","M",44,2
"4350","qx62589",11754,5298062,8,"S","N","O","M","F","1","Y",62,1
"4351","xy38345",6518,17470136,11,"S","Y","O","M","E","2","F",46,1
"4352","hy36337",21212,15898249,9,"S","N","O","S","F","1","Y",36,3
"4353","ey33337",2896,10748056,10,"S","","O","","F","1","Y",28,NA
"4354","fy21118",46224,12359672,6,"S","Y","O","S","C","1","F",36,2
"4355","kx87915",2906,8465998,9,"S","N","O","M","D","3","M",56,1
"4356","dy36885",2906,16023948,7,"S","","O","S","E","1","Y",40,NA
"4357","wx43372",7081,3217630,NA,"","","","","","","Y",NA,NA
"4358","yy36058",60605,15842788,NA,"M","","O","","","5","F",NA,NA
"4359","by42697",2169,18528276,9,"S","N","O","M","E","1","M",74,3
"4360","ry31365",19041,14826236,NA,"","","","","","","Y",NA,NA
"4361","wy32080",10312,14992237,12,"S","","","B","A","1","M",34,2
"4362","py28302",2840,13996037,NA,"S","","","","","3","M",NA,NA
"4363","sy35362",22303,15644460,NA,"","","","","","","Y",NA,NA
"4364","ux78442",2649,7160260,11,"S","Y","O","M","E","3","F",42,3
"4365","ry41370",2190,18182149,NA,"","","","","","","",NA,NA
"4366","dx72990",53092,6512930,11,"S","N","O","S","E","1","F",50,NA
"4367","cy42578",60090,18500262,8,"M","","","A","","1","Y",56,NA
"4368","hy32098",11570,15001888,12,"S","Y","O","S","G","1","M",76,2
"4369","my51857",7067,20383270,7,"S","N","O","M","","3","Y",70,1
"4370","hx97012",60605,7322003,8,"M","","","B","D","3","Y",40,3
"4371","yy50291",10519,19944703,10,"","Y","","M","E","2","Y",38,2
"4372","sy46279",6606,19236160,12,"S","Y","O","M","F","1","Y",48,1
"4373","hx70331",6405,6218996,7,"S","Y","O","S","H","2","M",44,1
"4374","lx95557",11426,10559803,NA,"","","","","","","",NA,NA
"4375","dy30316",2144,14569903,NA,"M","","","","","2","Y",32,NA
"4376","cy27435",20814,13699996,NA,"","","","","","","",NA,NA
"4377","fy51596",20740,20274803,NA,"M","","","","","1","Y",NA,NA
"4378","my49793",8618,19852030,9,"S","N","O","M","H","3","F",42,NA
"4379","by44159",6451,18860137,NA,"S","","O","","","2","Y",74,NA
"4380","ay51669",10470,20337162,NA,"","","","","","","",NA,NA
"4381","ny36740",21045,16011130,11,"S","N","O","M","H","1","M",70,NA
"4382","ny52076",60625,20420360,NA,"","","","","","","Y",NA,NA
"4383","fy32273",2120,12042956,NA,"","","","","","","F",NA,NA
"4384","cy48113",20001,19283160,5,"S","Y","O","M","","3","M",44,1
"4385","nx68078",10538,5953256,NA,"","","","","","","F",NA,NA
"4386","vx94355",1453,10362962,NA,"","","","","","","",NA,NA
"4387","ay44615",1970,18948896,NA,"","","","","","","M",NA,NA
"4388","iy40672",22003,18053262,NA,"","","","","","","M",NA,NA
"4389","wx86383",6010,8168160,4,"S","N","O","M","G","1","M",76,2
"4390","ey24602",22191,12954303,NA,"S","","","","H","1","M",30,NA
"4391","oy47114",20015,19360730,12,"S","","O","M","","3","M",22,NA
"4392","ry27177",7204,13615330,8,"S","N","O","S","F","1","M",50,1
"4393","iy41079",22305,18140972,NA,"","","","","","","",NA,NA
"4394","ox60768",7901,5056637,NA,"","","","","","","",NA,NA
"4395","px94778",60613,10445356,NA,"","","","","","","",NA,NA
"4396","zy44159",6511,18860570,5,"M","","","S","E","4","Y",34,1
"4397","nx82497",2144,7732762,NA,"","","","","","","Y",NA,NA
"4398","ky25328",60612,13096976,NA,"","","","","","","F",NA,NA
"4399","fy33881",6457,15357560,NA,"","","","","","","Y",NA,NA
"4400","ay52141",2472,20448770,2,"S","Y","R","M","","1","F",32,1
"4401","mx39322",6109,3017498,11,"M","N","O","M","","3","M",62,NA
"4402","ty36042",2347,15840856,NA,"S","","","M","A","2","Y",NA,NA
